date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,monthly_change
1995-03-31,1995.0,3.0,15.448275862068966,1995.2012241379311,361.958275862069,74.44827586206897,361.5103448275862,359.4468965517241,0.0648275862068964,0.96,0.2663431326350718
1995-04-30,1995.0,4.0,15.0,1995.2849344827584,363.42068965517245,105.0,362.8086206896552,359.6203448275862,0.013448275862068496,1.46,0.4040282791215155
1995-05-31,1995.0,5.0,16.724137931034484,1995.371844827586,363.82896551724133,136.72413793103448,363.59724137931033,359.768275862069,-0.01862068965517312,0.41,0.11234249278879727
1995-06-30,1995.0,6.0,15.185185185185185,1995.4525666666666,363.33962962962966,166.1851851851852,363.7737037037037,359.9651851851852,-0.02740740740740564,-0.49,-0.13449613252095594
1995-07-31,1995.0,7.0,17.071428571428573,1995.5399178571429,361.7075,198.07142857142858,362.47285714285715,360.15714285714284,-0.06500000000000179,-1.63,-0.44920220546638134
1995-08-31,1995.0,8.0,15.833333333333334,1995.6214625,359.34125,227.83333333333334,360.4925,360.3025,-0.15625,-2.37,-0.6541888127838069
1995-09-30,1995.0,9.0,16.666666666666668,1995.7086749999999,358.28583333333336,259.6666666666667,358.59375,360.46125,0.039583333333335226,-1.06,-0.2937087425021856
1995-10-31,1995.0,10.0,15.862068965517242,1995.7886620689656,358.13586206896554,288.86206896551727,358.13689655172413,360.6393103448276,0.02448275862068895,-0.15,-0.04185799448795935
1995-11-30,1995.0,11.0,15.961538461538462,1995.873873076923,359.6319230769231,319.96153846153845,358.8969230769231,360.7896153846154,0.053076923076922904,1.5,0.41773560439180013
1995-12-31,1995.0,12.0,16.5,1995.95753,360.84166666666664,350.5,360.24,360.94800000000004,0.05233333333333311,1.21,0.3363838169296196
1996-01-31,1996.0,1.0,15.517241379310345,1996.0396655172415,362.19206896551725,15.517241379310345,361.65241379310345,361.1172413793103,0.02103448275862116,1.35,0.37423679790784536
1996-02-29,1996.0,2.0,15.214285714285714,1996.1235357142857,363.3742857142857,46.214285714285715,362.7214285714286,361.31,0.02892857142857151,1.18,0.3264060287529347
1996-03-31,1996.0,3.0,15.285714285714286,1996.202967857143,364.26000000000005,75.28571428571429,363.84499999999997,361.50642857142856,0.07928571428571322,0.89,0.24374710058894244
1996-04-30,1996.0,4.0,15.89655172413793,1996.2893344827587,364.70724137931035,106.89655172413794,364.54448275862075,361.6455172413793,-0.0210344827586192,0.45,0.12278081022081277
